event_id,ts,category,duration_ms,outcome,account
ev_00001,2026-07-01T08:07:00,search,2680,ok,acct_122
ev_00002,2026-07-01T08:14:00,signup,72,ok,acct_103
ev_00003,2026-07-01T08:21:00,billing,3484,ok,acct_100
ev_00004,2026-07-01T08:28:00,export,3456,ok,acct_124
ev_00005,2026-07-01T08:35:00,dashboard,2252,ok,acct_119
ev_00006,2026-07-01T08:42:00,api,4078,ok,acct_118
ev_00007,2026-07-01T08:49:00,email,57,ok,acct_115
ev_00008,2026-07-01T08:56:00,upload,3977,ok,acct_130
ev_00009,2026-07-01T09:03:00,settings,69,error,acct_114
ev_00010,2026-07-01T09:10:00,checkout,3052,ok,acct_100
ev_00011,2026-07-01T09:17:00,search,2837,ok,acct_136
ev_00012,2026-07-01T09:24:00,signup,2385,ok,acct_124
ev_00013,2026-07-01T09:31:00,billing,1080,slow,acct_125
ev_00014,2026-07-01T09:38:00,export,1003,slow,acct_127
ev_00015,2026-07-01T09:45:00,dashboard,775,ok,acct_124
ev_00016,2026-07-01T09:52:00,api,514,ok,acct_119
ev_00017,2026-07-01T09:59:00,email,3921,slow,acct_101
ev_00018,2026-07-01T10:06:00,upload,3567,ok,acct_131
ev_00019,2026-07-01T10:13:00,settings,2611,error,acct_115
ev_00020,2026-07-01T10:20:00,checkout,2147,ok,acct_110
ev_00021,2026-07-01T10:27:00,search,1533,ok,acct_106
ev_00022,2026-07-01T10:34:00,signup,3306,error,acct_127
ev_00023,2026-07-01T10:41:00,billing,2072,ok,acct_126
ev_00024,2026-07-01T10:48:00,export,1724,ok,acct_120
ev_00025,2026-07-01T10:55:00,dashboard,1966,error,acct_108
ev_00026,2026-07-01T11:02:00,api,2593,ok,acct_136
ev_00027,2026-07-01T11:09:00,email,2371,ok,acct_110
ev_00028,2026-07-01T11:16:00,upload,1832,ok,acct_112
ev_00029,2026-07-01T11:23:00,settings,2425,ok,acct_105
ev_00030,2026-07-01T11:30:00,checkout,3619,ok,acct_126
ev_00031,2026-07-01T11:37:00,search,2845,ok,acct_128
ev_00032,2026-07-01T11:44:00,signup,4045,ok,acct_117
ev_00033,2026-07-01T11:51:00,billing,1197,ok,acct_123
ev_00034,2026-07-01T11:58:00,export,3714,ok,acct_127
ev_00035,2026-07-01T12:05:00,dashboard,3820,ok,acct_109
ev_00036,2026-07-01T12:12:00,api,2496,ok,acct_107
