# ESF — welcher Key gehört zu welchem Profil
#
# Erzeugt von scripts/assign-keys.sh. Zugeordnet wird nach Reihenfolge:
# der n-te Key der Schlüsseldatei geht an das n-te Profil.
#
# Die dritte Spalte ist ein Fingerabdruck (sha256, 12 Zeichen), kein
# Geheimnis. Er reicht, um eine Zuordnung wiederzuerkennen und zwei Keys
# zu unterscheiden — mehr soll er nicht können.
#
# PROFIL               NAME-IN-DER-DATEI        FINGERABDRUCK
  esf-chief-of-staff   esf-hermes-agent-1       e5316f3f2906
  esf-market-scout     esf-hermes-agent-2       f49946d1860f
  esf-market-analyst   esf-hermes-agent-3       65ff468a3aa6
  esf-product-manager  esf-hermes-agent-4       60dd5046fa5a
  esf-architect        esf-hermes-agent-5       c7869adf0486
  esf-estimator        esf-hermes-agent-6       0fe286606351
  esf-dev-a            esf-hermes-agent-7       28413d25acbd
  esf-dev-b            esf-hermes-agent-8       c0b7d5d9879c
  esf-reviewer         esf-hermes-agent-9       8777bd84a708
  esf-qa-release       esf-hermes-agent-10      5b9e5e85abe6
  esf-controller       esf-hermes-agent-11      ed952526d0a1
